id,minute,second,team,player,start_x,start_y,end_x,end_y,pass_length_m,pass_angle_rad,pass_type,pass_height,pass_outcome,pass_success,defenders_near_5m,teammates_near_5m,defenders_near_10m,teammates_near_10m
fce31c52-1a67-40ce-840e-6ecfdd9de8e1,15,49,Werder Bremen,Romano Schmid,32.7,27.1,52,26.6,19.30647559758124,-0.025900942238219513,Unknown,Ground Pass,Incomplete,0,0,0,0,0
17bfecd5-1617-4b4e-a9ba-ab6c0ebd5081,15,51,Bayer Leverkusen,Jonathan Tah,68.1,53.5,83.7,68.7,21.780725424099177,0.7724118804772756,Recovery,Ground Pass,Complete,1,0,1,0,1
95fc817d-93a8-40a1-afa0-35c0c3e609fc,15,53,Bayer Leverkusen,Nathan Tella,84.8,70.8,76.9,54.8,17.84404662625605,-2.0294314464474845,Unknown,Ground Pass,Complete,1,0,0,0,0
65748167-8633-4928-97e3-7fb9a4db84cd,15,55,Bayer Leverkusen,Granit Xhaka,77.4,54,98.8,50.5,21.684326136636102,-0.16211608625628954,Unknown,Ground Pass,Complete,1,0,0,1,0
dfaec2c4-ad8f-4530-80ec-31327400c456,15,56,Bayer Leverkusen,Amine Adli,98.8,50.5,93.6,55.4,7.144928271158502,2.385888729799255,Unknown,Ground Pass,Complete,1,1,1,3,2
58b7cae4-2dfd-4fb8-8ed2-fcd41ccb115e,15,58,Bayer Leverkusen,Jonas Hofmann,93.6,54.3,87.9,37.1,18.119878586789696,-1.8908016822652556,Unknown,Ground Pass,Complete,1,0,0,0,1
576aece9-65d9-43bb-bb33-48c2943ef53f,15,59,Bayer Leverkusen,Robert Andrich,87.9,37.1,87.6,46,8.905054744357273,1.6044914341409142,Unknown,Ground Pass,Complete,1,1,1,2,3
d2891ba9-b139-4666-9791-c0b6a923ecea,16,29,Bayer Leverkusen,Jonas Hofmann,120,80,110.2,32.6,48.402479275342905,-1.7746747779943224,Corner,High Pass,Complete,1,1,1,7,6
90cbc4d7-d846-4b3f-8cc7-8e1ce4086ce4,16,42,Werder Bremen,Michael Zetterer,14.8,37.7,92.8,57.8,80.54818433707864,0.2522052762575617,Unknown,High Pass,Incomplete,0,0,0,0,0
d73b40de-a0fa-4a0f-822b-b026d92be37e,16,49,Bayer Leverkusen,Lukáš Hrádecký,29.1,21.5,45.5,38.5,23.621176939348302,0.8033603032453056,Unknown,Ground Pass,Complete,1,0,1,0,1
0e589584-8e58-4b9c-8d95-604a06ae6f6f,16,53,Bayer Leverkusen,Jonathan Tah,52.5,41.3,57.7,53.5,13.261975720080326,1.1678847359413806,Unknown,Ground Pass,Complete,1,0,2,0,2
904083e3-6f38-477d-8934-db7862b1969c,16,56,Bayer Leverkusen,Granit Xhaka,64.5,52.6,83.2,71.7,26.730132809247323,0.7959797790185241,Unknown,Ground Pass,Complete,1,0,1,1,1
